,Date,Rain,Wind,Sup,Temp,Oil,sobimul,nongmul,Price,Avg_Price,Produced
0,2013-01-01,3.1,3.2,73.5,-4.7,1749.59,2.2,3.1,,,2001642.0
1,2013-01-02,0.0,4.2,40.8,-11.7,1749.59,2.2,3.1,"4,108","2,427",2001642.0
2,2013-01-03,0.0,2.8,42.8,-13.2,1749.59,2.2,3.1,"4,175","2,501",2001642.0
3,2013-01-04,0.0,1.8,44.3,-10.7,1749.59,2.2,3.1,"4,137","2,278",2001642.0
4,2013-01-05,0.0,2.3,59.4,-7.0,1749.59,2.2,3.1,,,2001642.0
5,2013-01-06,0.0,1.9,59.4,-6.3,1749.59,2.2,3.1,,,2001642.0
6,2013-01-07,0.0,1.7,53.6,-5.1,1749.59,2.2,3.1,"4,125","2,259",2001642.0
7,2013-01-08,0.0,2.2,53.4,-4.6,1749.59,2.2,3.1,"4,333","2,443",2001642.0
8,2013-01-09,0.0,3.0,38.5,-9.0,1749.59,2.2,3.1,"4,387","2,458",2001642.0
9,2013-01-10,0.0,2.3,41.3,-8.3,1749.59,2.2,3.1,"4,333","2,443",2001642.0
10,2013-01-11,0.0,2.3,50.5,-3.2,1749.59,2.2,3.1,"4,333","2,530",2001642.0
11,2013-01-12,0.1,2.5,70.0,0.0,1749.59,2.2,3.1,,,2001642.0
12,2013-01-13,0.0,1.6,65.6,-0.5,1749.59,2.2,3.1,,,2001642.0
13,2013-01-14,0.0,2.2,61.6,-2.1,1749.59,2.2,3.1,"4,167","2,583",2001642.0
14,2013-01-15,0.0,2.0,57.0,-2.1,1749.59,2.2,3.1,"4,167","2,301",2001642.0
15,2013-01-16,0.3,2.4,64.1,-2.6,1749.59,2.2,3.1,"4,053","2,361",2001642.0
16,2013-01-17,0.0,2.8,62.9,-5.8,1749.59,2.2,3.1,"4,167","2,329",2001642.0
17,2013-01-18,0.0,2.0,51.9,-4.4,1749.59,2.2,3.1,"4,127","2,271",2001642.0
18,2013-01-19,0.0,2.0,59.9,0.5,1749.59,2.2,3.1,,,2001642.0
19,2013-01-20,0.0,3.1,55.8,1.6,1749.59,2.2,3.1,,,2001642.0
20,2013-01-21,16.5,4.3,83.6,2.2,1749.59,2.2,3.1,"4,270","2,284",2001642.0
21,2013-01-22,0.5,2.2,74.3,3.8,1749.59,2.2,3.1,"4,160","2,378",2001642.0
22,2013-01-23,1.5,3.1,80.4,1.8,1749.59,2.2,3.1,"4,110","2,553",2001642.0
23,2013-01-24,0.1,4.3,57.6,-0.9,1749.59,2.2,3.1,"4,150","2,607",2001642.0
24,2013-01-25,0.0,4.7,37.5,-9.1,1749.59,2.2,3.1,"4,037","2,644",2001642.0
25,2013-01-26,0.0,3.5,37.0,-9.2,1749.59,2.2,3.1,,,2001642.0
26,2013-01-27,0.0,2.6,44.9,-7.3,1749.59,2.2,3.1,,,2001642.0
27,2013-01-28,0.0,2.1,56.0,-3.5,1749.59,2.2,3.1,"4,103","2,662",2001642.0
28,2013-01-29,0.0,2.7,63.5,2.2,1749.59,2.2,3.1,"4,083","2,733",2001642.0
29,2013-01-30,0.0,2.1,68.8,5.4,1749.59,2.2,3.1,"4,083","2,705",2001642.0
30,2013-01-31,0.0,2.9,59.5,7.4,1749.59,2.2,3.1,"3,967","2,819",2001642.0
31,2013-02-01,46.5,3.7,85.8,7.3,1766.73,2.2,3.1,"3,967","2,936",2001642.0
32,2013-02-02,0.0,4.1,52.1,-1.1,1766.73,2.2,3.1,,,2001642.0
33,2013-02-03,7.5,2.7,62.3,-3.2,1766.73,2.2,3.1,,,2001642.0
34,2013-02-04,7.4,2.6,77.1,-0.8,1766.73,2.2,3.1,"3,967","2,825",2001642.0
35,2013-02-05,4.5,2.4,77.0,-0.6,1766.73,2.2,3.1,"3,967","2,866",2001642.0
36,2013-02-06,2.1,3.3,75.0,-1.5,1766.73,2.2,3.1,"4,253","3,051",2001642.0
37,2013-02-07,0.0,5.5,42.5,-11.1,1766.73,2.2,3.1,"4,253","3,076",2001642.0
38,2013-02-08,0.0,2.7,39.3,-11.5,1766.73,2.2,3.1,"4,387","3,120",2001642.0
39,2013-02-09,0.0,1.8,55.5,-7.2,1766.73,2.2,3.1,,,2001642.0
40,2013-02-10,1.2,2.9,56.6,-4.0,1766.73,2.2,3.1,,,2001642.0
41,2013-02-11,0.0,2.1,41.8,-5.8,1766.73,2.2,3.1,,,2001642.0
42,2013-02-12,0.0,2.3,55.6,-3.8,1766.73,2.2,3.1,"4,387","3,147",2001642.0
43,2013-02-13,0.0,2.0,59.6,-1.3,1766.73,2.2,3.1,"4,387","3,152",2001642.0
44,2013-02-14,0.0,2.3,60.1,1.1,1766.73,2.2,3.1,"4,387","3,169",2001642.0
45,2013-02-15,0.0,3.9,48.4,-1.2,1766.73,2.2,3.1,"4,387","3,232",2001642.0
46,2013-02-16,0.0,2.1,38.8,-2.6,1766.73,2.2,3.1,,,2001642.0
