,Date,Rain,Wind,Sup,Temp,Oil,sobimul,nongmul,Price,Avg_Price,Produced
0,2013-01-01,3.1,3.2,73.5,-4.7,1749.59,2.2,3.1,,,1070208.0
1,2013-01-02,0.0,4.2,40.8,-11.7,1749.59,2.2,3.1,"1,883","1,715",1070208.0
2,2013-01-03,0.0,2.8,42.8,-13.2,1749.59,2.2,3.1,"1,901","1,709",1070208.0
3,2013-01-04,0.0,1.8,44.3,-10.7,1749.59,2.2,3.1,"1,854","1,700",1070208.0
4,2013-01-05,0.0,2.3,59.4,-7.0,1749.59,2.2,3.1,,,1070208.0
5,2013-01-06,0.0,1.9,59.4,-6.3,1749.59,2.2,3.1,,,1070208.0
6,2013-01-07,0.0,1.7,53.6,-5.1,1749.59,2.2,3.1,"1,787","1,716",1070208.0
7,2013-01-08,0.0,2.2,53.4,-4.6,1749.59,2.2,3.1,"1,787","1,742",1070208.0
8,2013-01-09,0.0,3.0,38.5,-9.0,1749.59,2.2,3.1,"1,769","1,753",1070208.0
9,2013-01-10,0.0,2.3,41.3,-8.3,1749.59,2.2,3.1,"1,709","1,807",1070208.0
10,2013-01-11,0.0,2.3,50.5,-3.2,1749.59,2.2,3.1,"1,747","1,833",1070208.0
11,2013-01-12,0.1,2.5,70.0,0.0,1749.59,2.2,3.1,,,1070208.0
12,2013-01-13,0.0,1.6,65.6,-0.5,1749.59,2.2,3.1,,,1070208.0
13,2013-01-14,0.0,2.2,61.6,-2.1,1749.59,2.2,3.1,"1,747","1,877",1070208.0
14,2013-01-15,0.0,2.0,57.0,-2.1,1749.59,2.2,3.1,"1,747","1,989",1070208.0
15,2013-01-16,0.3,2.4,64.1,-2.6,1749.59,2.2,3.1,"1,604","1,922",1070208.0
16,2013-01-17,0.0,2.8,62.9,-5.8,1749.59,2.2,3.1,"1,516","1,940",1070208.0
17,2013-01-18,0.0,2.0,51.9,-4.4,1749.59,2.2,3.1,"1,516","1,943",1070208.0
18,2013-01-19,0.0,2.0,59.9,0.5,1749.59,2.2,3.1,,,1070208.0
19,2013-01-20,0.0,3.1,55.8,1.6,1749.59,2.2,3.1,,,1070208.0
20,2013-01-21,16.5,4.3,83.6,2.2,1749.59,2.2,3.1,"1,516","1,971",1070208.0
21,2013-01-22,0.5,2.2,74.3,3.8,1749.59,2.2,3.1,"1,516","1,909",1070208.0
22,2013-01-23,1.5,3.1,80.4,1.8,1749.59,2.2,3.1,"1,559","1,901",1070208.0
23,2013-01-24,0.1,4.3,57.6,-0.9,1749.59,2.2,3.1,"1,646","1,973",1070208.0
24,2013-01-25,0.0,4.7,37.5,-9.1,1749.59,2.2,3.1,"1,646","1,650",1070208.0
25,2013-01-26,0.0,3.5,37.0,-9.2,1749.59,2.2,3.1,,,1070208.0
26,2013-01-27,0.0,2.6,44.9,-7.3,1749.59,2.2,3.1,,,1070208.0
27,2013-01-28,0.0,2.1,56.0,-3.5,1749.59,2.2,3.1,"1,670","1,637",1070208.0
28,2013-01-29,0.0,2.7,63.5,2.2,1749.59,2.2,3.1,"1,684","1,881",1070208.0
29,2013-01-30,0.0,2.1,68.8,5.4,1749.59,2.2,3.1,"1,613","1,965",1070208.0
30,2013-01-31,0.0,2.9,59.5,7.4,1749.59,2.2,3.1,"1,556","1,932",1070208.0
31,2013-02-01,46.5,3.7,85.8,7.3,1766.73,2.2,3.1,"1,541","1,857",1070208.0
32,2013-02-02,0.0,4.1,52.1,-1.1,1766.73,2.2,3.1,,,1070208.0
33,2013-02-03,7.5,2.7,62.3,-3.2,1766.73,2.2,3.1,,,1070208.0
34,2013-02-04,7.4,2.6,77.1,-0.8,1766.73,2.2,3.1,"1,433","1,793",1070208.0
35,2013-02-05,4.5,2.4,77.0,-0.6,1766.73,2.2,3.1,"1,433","1,795",1070208.0
36,2013-02-06,2.1,3.3,75.0,-1.5,1766.73,2.2,3.1,"1,404","1,792",1070208.0
37,2013-02-07,0.0,5.5,42.5,-11.1,1766.73,2.2,3.1,"1,426","1,765",1070208.0
38,2013-02-08,0.0,2.7,39.3,-11.5,1766.73,2.2,3.1,"1,426","1,770",1070208.0
39,2013-02-09,0.0,1.8,55.5,-7.2,1766.73,2.2,3.1,,,1070208.0
40,2013-02-10,1.2,2.9,56.6,-4.0,1766.73,2.2,3.1,,,1070208.0
41,2013-02-11,0.0,2.1,41.8,-5.8,1766.73,2.2,3.1,,,1070208.0
42,2013-02-12,0.0,2.3,55.6,-3.8,1766.73,2.2,3.1,"1,480","1,788",1070208.0
43,2013-02-13,0.0,2.0,59.6,-1.3,1766.73,2.2,3.1,"1,437","1,803",1070208.0
44,2013-02-14,0.0,2.3,60.1,1.1,1766.73,2.2,3.1,"1,483","1,819",1070208.0
45,2013-02-15,0.0,3.9,48.4,-1.2,1766.73,2.2,3.1,"1,504","1,827",1070208.0
46,2013-02-16,0.0,2.1,38.8,-2.6,1766.73,2.2,3.1,,,1070208.0
47,2013-02-17,0.0,2.5,44.5,2.3,1766.73,2.2,3.1,,,1070208.0
48,2013-02-18,0.0,3.5,49.8,0.5,1766.73,2.2,3.1,"1,447","1,827",1070208.0
49,2013-02-19,0.0,4.0,27.5,-2.9,1766.73,2.2,3.1,"1,503","1,784",1070208.0
50,2013-02-20,0.0,2.6,35.3,-4.8,1766.73,2.2,3.1,"1,489","1,785",1070208.0
51,2013-02-21,0.0,2.5,49.0,-1.7,1766.73,2.2,3.1,"1,479","1,787",1070208.0
52,2013-02-22,3.9,3.1,57.1,0.5,1766.73,2.2,3.1,"1,479","1,788",1070208.0
53,2013-02-23,0.0,3.7,45.9,-0.9,1766.73,2.2,3.1,,,1070208.0
54,2013-02-24,0.0,2.2,42.4,1.4,1766.73,2.2,3.1,,,1070208.0
55,2013-02-25,0.0,1.7,39.4,3.3,1766.73,2.2,3.1,"1,479","1,797",1070208.0
56,2013-02-26,0.0,2.6,56.4,4.8,1766.73,2.2,3.1,"1,421","1,827",1070208.0
57,2013-02-27,0.0,3.0,69.5,3.4,1766.73,2.2,3.1,"1,421","1,836",1070208.0
58,2013-02-28,1.0,2.9,57.3,6.7,1766.73,2.2,3.1,"1,350","1,835",1070208.0
59,2013-03-01,3.0,4.8,56.1,0.8,1785.96,2.2,3.1,,,1070208.0
60,2013-03-02,0.0,3.2,42.6,-0.8,1785.96,2.2,3.1,,,1070208.0
61,2013-03-03,0.0,2.9,50.3,0.4,1785.96,2.2,3.1,,,1070208.0
62,2013-03-04,0.0,2.8,58.6,3.1,1785.96,2.2,3.1,"1,389","1,827",1070208.0
63,2013-03-05,0.0,3.0,51.8,3.7,1785.96,2.2,3.1,"1,389","1,828",1070208.0
64,2013-03-06,0.0,2.2,43.1,7.9,1785.96,2.2,3.1,"1,360","1,884",1070208.0
65,2013-03-07,0.5,3.7,74.1,8.0,1785.96,2.2,3.1,"1,353","1,926",1070208.0
