,Date,Rain,Wind,Sup,Temp,Oil,sobimul,nongmul,Price,Avg_Price,Produced
0,2013-01-01,3.1,3.2,73.5,-4.7,1749.59,2.2,3.1,,,5405155
1,2013-01-02,0,4.2,40.8,-11.7,1749.59,2.2,3.1,"46,300","44,972",5405155
2,2013-01-03,0,2.8,42.8,-13.2,1749.59,2.2,3.1,"46,300","45,113",5405155
3,2013-01-04,0,1.8,44.3,-10.7,1749.59,2.2,3.1,"46,300","45,202",5405155
4,2013-01-05,0,2.3,59.4,-7,1749.59,2.2,3.1,,,5405155
5,2013-01-06,0,1.9,59.4,-6.3,1749.59,2.2,3.1,,,5405155
6,2013-01-07,0,1.7,53.6,-5.1,1749.59,2.2,3.1,"46,300","45,170",5405155
7,2013-01-08,0,2.2,53.4,-4.6,1749.59,2.2,3.1,"46,300","45,064",5405155
8,2013-01-09,0,3,38.5,-9,1749.59,2.2,3.1,"46,300","44,931",5405155
9,2013-01-10,0,2.3,41.3,-8.3,1749.59,2.2,3.1,"46,257","44,807",5405155
10,2013-01-11,0,2.3,50.5,-3.2,1749.59,2.2,3.1,"46,257","44,741",5405155
11,2013-01-12,0.1,2.5,70,0,1749.59,2.2,3.1,,,5405155
12,2013-01-13,0,1.6,65.6,-0.5,1749.59,2.2,3.1,,,5405155
13,2013-01-14,0,2.2,61.6,-2.1,1749.59,2.2,3.1,"46,257","44,769",5405155
14,2013-01-15,0,2,57,-2.1,1749.59,2.2,3.1,"46,257","44,524",5405155
15,2013-01-16,0.3,2.4,64.1,-2.6,1749.59,2.2,3.1,"45,400","44,311",5405155
16,2013-01-17,0,2.8,62.9,-5.8,1749.59,2.2,3.1,"45,400","44,099",5405155
17,2013-01-18,0,2,51.9,-4.4,1749.59,2.2,3.1,"45,400","43,941",5405155
18,2013-01-19,0,2,59.9,0.5,1749.59,2.2,3.1,,,5405155
19,2013-01-20,0,3.1,55.8,1.6,1749.59,2.2,3.1,,,5405155
20,2013-01-21,16.5,4.3,83.6,2.2,1749.59,2.2,3.1,"45,400","43,806",5405155
21,2013-01-22,0.5,2.2,74.3,3.8,1749.59,2.2,3.1,"45,443","43,810",5405155
22,2013-01-23,1.5,3.1,80.4,1.8,1749.59,2.2,3.1,"45,871","44,101",5405155
23,2013-01-24,0.1,4.3,57.6,-0.9,1749.59,2.2,3.1,"46,300","44,382",5405155
24,2013-01-25,0,4.7,37.5,-9.1,1749.59,2.2,3.1,"46,300","44,595",5405155
25,2013-01-26,0,3.5,37,-9.2,1749.59,2.2,3.1,,,5405155
26,2013-01-27,0,2.6,44.9,-7.3,1749.59,2.2,3.1,,,5405155
27,2013-01-28,0,2.1,56,-3.5,1749.59,2.2,3.1,"46,300","44,699",5405155
28,2013-01-29,0,2.7,63.5,2.2,1749.59,2.2,3.1,"46,300","44,945",5405155
29,2013-01-30,0,2.1,68.8,5.4,1749.59,2.2,3.1,"45,729","44,959",5405155
30,2013-01-31,0,2.9,59.5,7.4,1749.59,2.2,3.1,"45,729","44,978",5405155
31,2013-02-01,46.5,3.7,85.8,7.3,1766.73,2.2,3.1,"45,729","45,011",5405155
32,2013-02-02,0,4.1,52.1,-1.1,1766.73,2.2,3.1,,,5405155
33,2013-02-03,7.5,2.7,62.3,-3.2,1766.73,2.2,3.1,,,5405155
34,2013-02-04,7.4,2.6,77.1,-0.8,1766.73,2.2,3.1,"45,729","44,923",5405155
35,2013-02-05,4.5,2.4,77,-0.6,1766.73,2.2,3.1,"45,729","44,815",5405155
36,2013-02-06,2.1,3.3,75,-1.5,1766.73,2.2,3.1,"45,729","44,700",5405155
37,2013-02-07,0,5.5,42.5,-11.1,1766.73,2.2,3.1,"46,300","44,632",5405155
38,2013-02-08,0,2.7,39.3,-11.5,1766.73,2.2,3.1,"46,414","44,632",5405155
39,2013-02-09,0,1.8,55.5,-7.2,1766.73,2.2,3.1,,,5405155
40,2013-02-10,1.2,2.9,56.6,-4,1766.73,2.2,3.1,,,5405155
41,2013-02-11,0,2.1,41.8,-5.8,1766.73,2.2,3.1,,,5405155
42,2013-02-12,0,2.3,55.6,-3.8,1766.73,2.2,3.1,"46,514","44,502",5405155
43,2013-02-13,0,2,59.6,-1.3,1766.73,2.2,3.1,"46,514","44,383",5405155
44,2013-02-14,0,2.3,60.1,1.1,1766.73,2.2,3.1,"46,514","44,272",5405155
45,2013-02-15,0,3.9,48.4,-1.2,1766.73,2.2,3.1,"46,371","44,161",5405155
46,2013-02-16,0,2.1,38.8,-2.6,1766.73,2.2,3.1,,,5405155
47,2013-02-17,0,2.5,44.5,2.3,1766.73,2.2,3.1,,,5405155
48,2013-02-18,0,3.5,49.8,0.5,1766.73,2.2,3.1,"46,371","44,050",5405155
49,2013-02-19,0,4,27.5,-2.9,1766.73,2.2,3.1,"46,371","43,959",5405155
50,2013-02-20,0,2.6,35.3,-4.8,1766.73,2.2,3.1,"46,086","44,178",5405155
51,2013-02-21,0,2.5,49,-1.7,1766.73,2.2,3.1,"46,086","44,387",5405155
52,2013-02-22,3.9,3.1,57.1,0.5,1766.73,2.2,3.1,"46,086","44,542",5405155
53,2013-02-23,0,3.7,45.9,-0.9,1766.73,2.2,3.1,,,5405155
54,2013-02-24,0,2.2,42.4,1.4,1766.73,2.2,3.1,,,5405155
55,2013-02-25,0,1.7,39.4,3.3,1766.73,2.2,3.1,"46,086","44,663",5405155
56,2013-02-26,0,2.6,56.4,4.8,1766.73,2.2,3.1,"46,086","44,941",5405155
57,2013-02-27,0,3,69.5,3.4,1766.73,2.2,3.1,"46,371","44,922",5405155
58,2013-02-28,1,2.9,57.3,6.7,1766.73,2.2,3.1,"46,514","44,907",5405155
59,2013-03-01,3,4.8,56.1,0.8,1785.96,2.2,3.1,,,5405155
60,2013-03-02,0,3.2,42.6,-0.8,1785.96,2.2,3.1,,,5405155
61,2013-03-03,0,2.9,50.3,0.4,1785.96,2.2,3.1,,,5405155
62,2013-03-04,0,2.8,58.6,3.1,1785.96,2.2,3.1,"46,371","44,907",5405155
63,2013-03-05,0,3,51.8,3.7,1785.96,2.2,3.1,"46,371","44,902",5405155
64,2013-03-06,0,2.2,43.1,7.9,1785.96,2.2,3.1,"46,371","44,912",5405155
65,2013-03-07,0.5,3.7,74.1,8,1785.96,2.2,3.1,"46,371","44,924",5405155
66,2013-03-08,0,2.7,66,8.5,1785.96,2.2,3.1,"46,371","44,686",5405155
67,2013-03-09,0,4.3,48.8,13.2,1785.96,2.2,3.1,,,5405155
68,2013-03-10,0,5,32.5,1.2,1785.96,2.2,3.1,,,5405155
69,2013-03-11,0,2.2,33.4,4.2,1785.96,2.2,3.1,"46,371","44,472",5405155
70,2013-03-12,3.5,2.1,60.4,7.5,1785.96,2.2,3.1,"46,371","44,302",5405155
71,2013-03-13,11.5,3.6,64.5,5.2,1785.96,2.2,3.1,"46,371","44,152",5405155
72,2013-03-14,0,2.9,48.9,4.1,1785.96,2.2,3.1,"46,371","44,002",5405155
73,2013-03-15,0,2.4,43.4,4.6,1785.96,2.2,3.1,"46,371","44,298",5405155
74,2013-03-16,0,2.3,53.6,6.3,1785.96,2.2,3.1,,,5405155
75,2013-03-17,7.5,2.9,57.5,8.2,1785.96,2.2,3.1,,,5405155
76,2013-03-18,1,3.3,73,8.3,1785.96,2.2,3.1,"46,371","44,503",5405155
77,2013-03-19,0,2.2,61.1,8,1785.96,2.2,3.1,"46,371","44,646",5405155
78,2013-03-20,0.1,4.3,51.9,2.8,1785.96,2.2,3.1,"46,371","46,631",5405155
79,2013-03-21,0,2.5,34.3,1.5,1785.96,2.2,3.1,"46,371","46,013",5405155
80,2013-03-22,0,2.3,61.6,3.4,1785.96,2.2,3.1,"46,371","45,575",5405155
81,2013-03-23,0,2.3,39,5.4,1785.96,2.2,3.1,,,5405155
82,2013-03-24,0,3.9,47.4,5.1,1785.96,2.2,3.1,,,5405155
83,2013-03-25,0,3.8,40.3,2.8,1785.96,2.2,3.1,"46,514","45,218",5405155
84,2013-03-26,0,2.5,39.9,4.4,1785.96,2.2,3.1,"46,514","45,214",5405155
85,2013-03-27,0,2.8,30.1,7.5,1785.96,2.2,3.1,"46,086","45,088",5405155
86,2013-03-28,0,2.7,42.1,7.3,1785.96,2.2,3.1,"46,086","45,250",5405155
87,2013-03-29,0,3.4,28.6,5.4,1785.96,2.2,3.1,"46,086","45,621",5405155
88,2013-03-30,0.2,2.3,43.1,4.9,1785.96,2.2,3.1,,,5405155
89,2013-03-31,0,2.7,46.4,6.3,1785.96,2.2,3.1,,,5405155
90,2013-04-01,0.5,2.2,44.5,9.2,1745.21,2.2,3.1,"46,086","45,682",5405155
91,2013-04-02,8.5,2.7,86.1,7.2,1745.21,2.2,3.1,"46,086","45,628",5405155
92,2013-04-03,0,2.6,64,7.9,1745.21,2.2,3.1,"46,514","45,300",5405155
93,2013-04-04,0,1.9,44.5,12.6,1745.21,2.2,3.1,"46,514","45,239",5405155
94,2013-04-05,0,2.6,42.1,14.6,1745.21,2.2,3.1,"46,514","45,211",5405155
95,2013-04-06,14,2.9,84.4,7.5,1745.21,2.2,3.1,,,5405155
96,2013-04-07,1,4.4,57.3,5.1,1745.21,2.2,3.1,,,5405155
97,2013-04-08,1,4,55.1,8,1745.21,2.2,3.1,"46,514","45,013",5405155
