,Date,Rain,Wind,Sup,Temp,Oil,sobimul,nongmul
0,2012-01-01,0,2.9,64.5,-3,,4,"9.2	"
1,2012-01-02,0,2.3,66.5,-4.8,,,
2,2012-01-03,0.4,2.5,68.3,-4.5,,,
3,2012-01-04,0,3.1,55.4,-7.4,,,
4,2012-01-05,0,1.5,49.8,-5.7,,,
5,2012-01-06,0,2.5,42.9,-2.8,,,
6,2012-01-07,0,1.6,46.5,-3.8,,,
7,2012-01-08,0,1.7,54.3,-2.5,,,
8,2012-01-09,0,1.9,66.1,-0.3,,,
9,2012-01-10,0,2.5,53.9,-2.5,,,
10,2012-01-11,0,3.1,42.3,-6,,,
11,2012-01-12,0,2.5,56.5,-4.6,,,
12,2012-01-13,0,2.5,52.8,-1.2,,,
13,2012-01-14,0,2.1,51.6,-1.5,,,
14,2012-01-15,0,2.4,44.5,-2.6,,,
15,2012-01-16,0,1.4,44.6,1,,,
16,2012-01-17,0,1.8,48.5,2.8,,,
17,2012-01-18,0,1.7,39.8,1.4,,,
18,2012-01-19,0.2,2.9,54.4,5.3,,,
19,2012-01-20,0.5,3.4,61,5.4,,,
20,2012-01-21,0.1,2.8,60.3,2.4,,,
21,2012-01-22,0,4.2,37.9,-7.7,,,
22,2012-01-23,0,3.4,33.3,-9.6,,,
23,2012-01-24,1.6,2.5,39.9,-7.3,,,
24,2012-01-25,0,3.1,41.3,-8.2,,,
25,2012-01-26,0,2.5,54.5,-2.9,,,
26,2012-01-27,0,2.5,64.6,-0.9,,,
27,2012-01-28,0,2.5,24.4,-1.8,,,
28,2012-01-29,0,2.8,23.4,-2.8,,,
29,2012-01-30,0,2.8,22.4,-5.6,,,
30,2012-01-31,3.9,3.1,48.4,-4.7,,,
31,2012-02-01,0,3.9,47.9,-12.8,,,
32,2012-02-02,0,3.4,44.4,-13.7,,,
33,2012-02-03,0.1,2.3,54.3,-8.6,,,
34,2012-02-04,0.2,2.3,48.5,-3,,,
35,2012-02-05,0,1.4,36.1,-0.9,,,
36,2012-02-06,0.2,2.4,50.6,0.9,,,
37,2012-02-07,0,5.2,42.3,-8.7,,,
38,2012-02-08,0,3.5,39.1,-8,,,
39,2012-02-09,0,2.5,48.9,-4.5,,,
40,2012-02-10,0,2.8,46.4,-3.5,,,
41,2012-02-11,0,2.6,42.5,-3.8,,,
42,2012-02-12,0,1.8,34.4,-0.1,,,
43,2012-02-13,0,2.1,26.3,3.1,,,
44,2012-02-14,0,2.5,48.9,3,,,
45,2012-02-15,0,3.7,31.5,-1.3,,,
46,2012-02-16,0,3.5,32.4,-2.8,,,
47,2012-02-17,0,4.4,35.1,-6.4,,,
48,2012-02-18,0,3.4,38.9,-6.8,,,
49,2012-02-19,0,2.4,39.6,-4.4,,,
50,2012-02-20,0,2.6,56.8,-0.2,,,
51,2012-02-21,0,1.9,59.1,2.3,,,
52,2012-02-22,0,2.4,46.6,5.8,,,
53,2012-02-23,0.3,3.1,64.4,4.4,,,
54,2012-02-24,0,3.2,61.3,4.3,,,
55,2012-02-25,0,3.8,57.4,1.2,,,
56,2012-02-26,0,3.3,33.5,-1.6,,,
57,2012-02-27,0,2.4,31.3,-0.7,,,
58,2012-02-28,0,2.1,26.6,2.1,,,
59,2012-02-29,0,2.2,27.1,5.4,,,
60,2012-03-01,0,1.9,20.1,8.7,,,
61,2012-03-02,0.3,3,54.6,6.9,,,
62,2012-03-03,0,3.5,47.1,6.9,,,
63,2012-03-04,0,5.2,49.9,6.2,,,
64,2012-03-05,7,5.8,66.9,5.3,,,
65,2012-03-06,8.5,4.7,81.6,3,,,
66,2012-03-07,0,2.9,60.1,3,,,
67,2012-03-08,0,3.5,47.8,2,,,
68,2012-03-09,0,2.1,48.9,3.4,,,
69,2012-03-10,0,3.5,52.5,3.9,,,
70,2012-03-11,0,5.4,43,-2.4,,,
71,2012-03-12,0,3.8,40.1,-1.6,,,
72,2012-03-13,0,2.6,49.8,1.7,,,
73,2012-03-14,0,3.8,70.4,3.6,,,
74,2012-03-15,0,1.9,35.8,5.5,,,
75,2012-03-16,4,3.2,51.1,8.1,,,
76,2012-03-17,2,2.5,71.4,10.4,,,
77,2012-03-18,0,3.3,62.8,6.9,,,
78,2012-03-19,0,3.1,38,2.8,,,
79,2012-03-20,0,3.9,30.6,3.1,,,
80,2012-03-21,0,2.9,36.3,4.3,,,
81,2012-03-22,0,2.5,53.6,7.8,,,
82,2012-03-23,22,3.7,82.5,5,,,
83,2012-03-24,3.5,5.6,54.5,3.3,,,
84,2012-03-25,0,4.8,36.6,3.6,,,
85,2012-03-26,0,3.7,38.3,3.9,,,
86,2012-03-27,0,3.1,57.6,6.4,,,
87,2012-03-28,0,2,56.4,10.1,,,
88,2012-03-29,0,3.4,57,11.6,,,
89,2012-03-30,0.1,3.7,73.5,9,,,
90,2012-03-31,0,4.2,38.4,5.4,,,
91,2012-04-01,0,3.1,28.1,4.6,,,
92,2012-04-02,22,3.4,56.9,8.3,,,
93,2012-04-03,35,4.8,66.9,4.9,,,
94,2012-04-04,0,4.4,57.3,7.2,,,
95,2012-04-05,0,4.3,43.4,6.7,,,
96,2012-04-06,0,4.6,41.5,5.4,,,
97,2012-04-07,0,3,35.5,5.9,,,
98,2012-04-08,0,4.7,47.3,11.3,,,
99,2012-04-09,0,2.6,55.8,15.4,,,
100,2012-04-10,10.5,2,82.8,13.7,,,
101,2012-04-11,3,3.8,72.5,12.2,,,
102,2012-04-12,0,3.7,49.5,8.9,,,
103,2012-04-13,0,2.7,52.8,10.3,,,
104,2012-04-14,0,2.9,68,10.5,,,
105,2012-04-15,0,2.6,56,13.4,,,
106,2012-04-16,0,3.1,58,11.9,,,
