구분,평균,평년
,,
,,
2012-10-18,"1,907","1,683"
2012-10-19,"1,907","1,687"
2012-10-22,"2,003","1,773"
2012-10-23,"2,003","1,740"
2012-10-24,"2,003","1,735"
2012-10-25,"1,711","1,745"
2012-10-26,"1,711","1,755"
2012-10-29,"1,740","1,694"
2012-10-30,"1,740","1,694"
2012-10-31,"1,740","1,691"
2012-11-01,"1,814","1,690"
2012-11-02,"1,771","1,705"
2012-11-05,"1,857","1,699"
2012-11-06,"1,857","1,686"
2012-11-07,"1,790","1,674"
2012-11-08,"1,877","1,670"
2012-11-09,"1,863","1,624"
2012-11-12,"1,863","1,585"
2012-11-13,"1,863","1,585"
2012-11-14,"1,960","1,586"
2012-11-15,"1,993","1,592"
2012-11-16,"1,993","1,573"
2012-11-19,"1,993","1,572"
2012-11-20,"2,021","1,584"
2012-11-21,"2,050","1,598"
2012-11-22,"1,964","1,682"
2012-11-23,"1,927","1,687"
2012-11-26,"1,969","1,679"
2012-11-27,"1,997","1,679"
2012-11-28,"2,040","1,680"
2012-11-29,"2,001","1,682"
2012-11-30,"2,001","1,687"
2012-12-03,"2,001","1,691"
2012-12-04,"2,001","1,682"
2012-12-05,"2,001","1,682"
2012-12-06,"2,014","1,669"
2012-12-07,"2,043","1,679"
2012-12-10,"2,071","1,689"
2012-12-11,"2,057","1,690"
2012-12-12,"2,057","1,685"
2012-12-13,"1,976","1,663"
2012-12-14,"1,976","1,647"
2012-12-17,"1,957","1,622"
2012-12-18,"1,957","1,604"
2012-12-20,"2,087","1,590"
2012-12-21,"2,073","1,575"
2012-12-24,"2,047","1,576"
2012-12-26,"2,061","1,581"
2012-12-27,"2,173","1,591"
2012-12-28,"2,173","1,598"
2012-12-31,"2,173","1,566"
2013-01-02,"2,206","1,571"
2013-01-03,"2,144","1,575"
2013-01-04,"2,144","1,575"
2013-01-07,"2,120","1,559"
2013-01-08,"2,064","1,578"
2013-01-09,"2,064","1,598"
2013-01-10,"2,217","1,621"
2013-01-11,"2,323","1,640"
2013-01-14,"2,323","1,663"
2013-01-15,"2,323","1,649"
2013-01-16,"2,056","1,629"
2013-01-17,"2,060","1,609"
2013-01-18,"2,044","1,599"
2013-01-21,"2,180","1,589"
2013-01-22,"2,180","1,585"
2013-01-23,"2,180","1,600"
2013-01-24,"2,350","1,618"
2013-01-25,"2,350","1,625"
2013-01-28,"2,409","1,641"
2013-01-29,"2,409","1,657"
2013-01-30,"2,409","1,665"
2013-01-31,"2,434","1,669"
2013-02-01,"2,450","1,673"
2013-02-04,"2,519","1,695"
2013-02-05,"2,561","1,701"
2013-02-06,"2,590","1,711"
2013-02-07,"2,670","1,712"
2013-02-08,"2,684","1,721"
2013-02-12,"2,684","1,727"
2013-02-13,"2,684","1,731"
2013-02-14,"2,774","1,745"
2013-02-15,"2,831","1,760"
2013-02-18,"2,853","1,761"
2013-02-19,"2,881","1,761"
2013-02-20,"2,924","1,744"
2013-02-21,"3,000","1,726"
2013-02-22,"3,049","1,711"
2013-02-25,"3,020","1,705"
2013-02-26,"3,040","1,668"
2013-02-27,"3,040","1,660"
2013-02-28,"2,974","1,657"
2013-03-04,"2,916","1,674"
